"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 20:02:13 GMT 2023","Fri May 26 20:02:16 GMT 2023","2900","","ru.novo_estate.web.tests.header.FollowingHeaderLinksTests","","ru.novo_estate.web.tests.header.FollowingHeaderLinksTests","followingContactsLink","Переход по ссылке 'Контакты'",""
"passed","Fri May 26 20:01:31 GMT 2023","Fri May 26 20:01:33 GMT 2023","1022","","ru.novo_estate.api.tests.filter_building.SearchBuildingFiltersTests","","ru.novo_estate.api.tests.filter_building.SearchBuildingFiltersTests","searchStation","Применить фильтр 'Станция метро' и проверить, что найденные ЖК содержат искомый station_id",""
"passed","Fri May 26 20:02:34 GMT 2023","Fri May 26 20:02:40 GMT 2023","6628","","ru.novo_estate.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.novo_estate.web.tests.novostroyki.SearchNovostroykiFiltersTests","searchСounty","Проверить результаты поиска ЖК по округу на странице /novostroyki",""
"passed","Fri May 26 20:02:04 GMT 2023","Fri May 26 20:02:07 GMT 2023","2866","","ru.novo_estate.web.tests.header.FollowingHeaderLinksTests","","ru.novo_estate.web.tests.header.FollowingHeaderLinksTests","followingAboutLink","Переход по ссылке 'O компании'",""
"failed","Fri May 26 20:01:39 GMT 2023","Fri May 26 20:01:39 GMT 2023","2","","ru.novo_estate.api.tests.profile.ProfileTests","","ru.novo_estate.api.tests.profile.ProfileTests","changeUsername","Изменение имени пользователя",""
"passed","Fri May 26 20:01:54 GMT 2023","Fri May 26 20:02:00 GMT 2023","6736","","ru.novo_estate.web.tests.auth.AuthTests","","ru.novo_estate.web.tests.auth.AuthTests","registrationNewUserSuccessful","Позитивная проверка регистрации нового пользователя",""
"passed","Fri May 26 20:03:29 GMT 2023","Fri May 26 20:03:33 GMT 2023","4266","","ru.novo_estate.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.novo_estate.web.tests.novostroyki.SearchNovostroykiFiltersTests","setFilterRoomsAndVerifyResultSearch","setFilterRoomsAndVerifyResultSearch(RoomEnum) Проверить выдачу ЖК после примения фильтра Комнатность 4 на странице /novostroyki",""
"passed","Fri May 26 20:03:25 GMT 2023","Fri May 26 20:03:29 GMT 2023","4396","","ru.novo_estate.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.novo_estate.web.tests.novostroyki.SearchNovostroykiFiltersTests","setFilterRoomsAndVerifyResultSearch","setFilterRoomsAndVerifyResultSearch(RoomEnum) Проверить выдачу ЖК после примения фильтра Комнатность 3 на странице /novostroyki",""
"broken","Fri May 26 20:02:16 GMT 2023","Fri May 26 20:02:22 GMT 2023","6452","","ru.novo_estate.web.tests.novostroyki.CallMeTests","","ru.novo_estate.web.tests.novostroyki.CallMeTests","orderCallBackAndСheckAdditionInDatabase","Отправить заполненную форму Заказать звонок и проверить добавление соответсвующей записи в БД",""
"failed","Fri May 26 20:01:39 GMT 2023","Fri May 26 20:01:53 GMT 2023","14095","","ru.novo_estate.web.tests.auth.AuthTests","","ru.novo_estate.web.tests.auth.AuthTests","authUserSuccessful","Позитивная проверка авторизации пользователя",""
